timestamp,raw_value
2025-10-15T09:47:56.015601,307
2025-10-15T09:47:56.016248,51
2025-10-15T09:47:56.017014,-131
2025-10-15T09:47:56.017662,20
2025-10-15T09:47:56.018450,122
2025-10-15T09:47:56.019117,6
2025-10-15T09:47:56.019863,-54
2025-10-15T09:47:56.020619,11
2025-10-15T09:47:56.021535,-19
2025-10-15T09:47:56.022335,-66
2025-10-15T09:47:56.023707,-11
2025-10-15T09:47:56.040456,-74
2025-10-15T09:47:56.041406,17
2025-10-15T09:47:56.042111,116
2025-10-15T09:47:56.042976,2
2025-10-15T09:47:56.043934,-84
2025-10-15T09:47:56.044706,27
2025-10-15T09:47:56.045545,67
2025-10-15T09:47:56.046208,-37
2025-10-15T09:47:56.046871,33
2025-10-15T09:47:56.047494,199
2025-10-15T09:47:56.048145,244
2025-10-15T09:47:56.048938,208
2025-10-15T09:47:56.049687,183
2025-10-15T09:47:56.050393,59
2025-10-15T09:47:56.051062,-8
2025-10-15T09:47:56.051683,69
2025-10-15T09:47:56.052342,120
2025-10-15T09:47:56.053069,11
2025-10-15T09:47:56.085254,-45
2025-10-15T09:47:56.086053,-134
2025-10-15T09:47:56.086722,-180
2025-10-15T09:47:56.087791,-29
2025-10-15T09:47:56.088481,40
2025-10-15T09:47:56.089327,83
2025-10-15T09:47:56.090284,295
2025-10-15T09:47:56.090919,417
2025-10-15T09:47:56.091638,161
2025-10-15T09:47:56.092386,-29
2025-10-15T09:47:56.093079,17
2025-10-15T09:47:56.093800,27
2025-10-15T09:47:56.094361,-53
2025-10-15T09:47:56.094869,-7
2025-10-15T09:47:56.095385,-1
2025-10-15T09:47:56.095851,-118
2025-10-15T09:47:56.096493,-131
2025-10-15T09:47:56.097091,-11
2025-10-15T09:47:56.097621,-28
2025-10-15T09:47:56.115023,5
2025-10-15T09:47:56.115759,22
2025-10-15T09:47:56.116360,-72
2025-10-15T09:47:56.116876,-34
2025-10-15T09:47:56.117480,53
2025-10-15T09:47:56.118026,-34
2025-10-15T09:47:56.118709,-74
2025-10-15T09:47:56.119393,25
2025-10-15T09:47:56.120107,102
2025-10-15T09:47:56.120829,162
2025-10-15T09:47:56.122452,273
2025-10-15T09:47:56.124522,198
2025-10-15T09:47:56.125367,-12
2025-10-15T09:47:56.126057,-50
2025-10-15T09:47:56.126729,90
2025-10-15T09:47:56.127336,89
2025-10-15T09:47:56.127862,19
2025-10-15T09:47:56.128439,22
2025-10-15T09:47:56.129006,11
2025-10-15T09:47:56.160231,-105
2025-10-15T09:47:56.160873,-98
2025-10-15T09:47:56.161494,-19
2025-10-15T09:47:56.162139,-30
2025-10-15T09:47:56.162692,4
2025-10-15T09:47:56.163205,272
2025-10-15T09:47:56.163909,370
2025-10-15T09:47:56.164572,183
2025-10-15T09:47:56.165151,50
2025-10-15T09:47:56.165688,59
2025-10-15T09:47:56.166268,-10
2025-10-15T09:47:56.167058,-25
2025-10-15T09:47:56.167808,70
2025-10-15T09:47:56.168629,39
2025-10-15T09:47:56.169303,-90
2025-10-15T09:47:56.169893,-59
2025-10-15T09:47:56.170439,-33
2025-10-15T09:47:56.171062,-114
2025-10-15T09:47:56.171748,-88
